,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
002483.SZ,江苏润邦重工股份有限公司,润邦股份,,"高端装备业务(主要包括各类物料搬运装备,海上风电装备,船舶配套装备等业务)；以及环保业务(主要包括危废及医废处理处置服务,污泥处理处置服务等)。","　　起重机械、港口机械、装卸机械、输送机械、橡胶机械、船舶配套钢结构件、工程钢结构、重型钢结构、船舶机械及其设备、海洋工程作业平台、海洋工程作业船、特种工程船、海洋工程配套装备、10万吨及10万吨以下钢质船舶的设计、生产制造、销售、安装、售后服务、技术指导、技术转让;自营和代理船舶产品及海工船舶设备、配件、原辅材料及技术的进出口业务;船舶工程项目的管理;节能环保和循环经济领域内的技术开发、技术转让、技术咨询、技术服务、工程设计与承包建设;经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",江苏润邦重工股份有限公司主营业务为高端装备业务(主要包括各类物料搬运装备、船舶配套装备、海洋工程装备等业务)；以及环保业务(主要包括危废及医废处理处置服务、污泥处理处置服务等)。公司主要产品为物料搬运装备、船舶配套装备、海洋工程装备及污泥处理、水处理、固废处理、再生能源热电。,龙勇,广州市人民政府 (19.13%),江苏省南通市崇川区经济技术开发区振兴西路9号
002484.SZ,南通江海电容器股份有限公司,江海股份,,铝电解电容器、化成箔、薄膜电容器、酚醛盖板等产品的研发、生产、销售和服务。,　　生产加工电容器及其材料、配件、电容器设备、仪器、仪表及配件；销售自产产品并提供相关的售后服务。,南通江海电容器股份有限公司主要从事电容器及其材料、配件的研发、生产、销售和服务。化成箔、腐蚀箔是铝电解电容器使用的主要材料，是公司产业链延伸发展的产品，其很大程度上决定了电容器的性能和成本，主要性能指标达到国内先进水平，销售以内部配套为主，但外销比重逐年提高。公司是全球在电力电子领域少数几家同时在三大类电容器进行研发、制造和销售的企业之一，因应了下游战略性新兴产业的发展对基础元器件的需求，业务遍布工业自动化、机器人、消费电子、轨道交通、5G通讯设备、新能源、智能电网、军工等多个领域，工业类电容器的技术性能和产销量位列全球同行前列，成为中高端市场的主流产品。以性能、品质和服务铸就的“jianghai”、“江海”是中国驰名商标、江苏省名牌产品，具有较高的知名度和客户满意度及一定的议价能力。,陈卫东,方铿 (0.70%),江苏省南通市通州区平潮镇通扬南路79号
002485.SZ,雪松发展股份有限公司,雪松发展,希努尔男装股份有限公司,设计、生产和销售西装、衬衫及其他服饰类产品、文化旅游业务、供应链管理业务。,　　一般项目：计算机系统服务；网络与信息安全软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；信息系统运行维护服务；信息咨询服务（不含许可类信息咨询服务）；供应链管理服务；旅游开发项目策划咨询；文艺创作；服装制造；服装服饰批发；服装服饰零售；服装、服饰检验、整理服务；服饰制造；住房租赁。（除依法须批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：营业性演出；旅游业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。,"雪松发展股份有限公司主要从事设计、生产和销售西装、衬衫及其他服饰类产品、文化旅游业务、供应链管理业务。公司""希努尔SINOER""、""新郎-希努尔""、""新郎-XINLANG""三个商标被认定为中国驰名商标.公司生产的男西服套装、衬衫、西裤等产品获得国家质量监督检验检疫总局授予的""中国名牌产品""称号,还获得中国纺织服装影响力大奖组委会授予的""最具时尚影响力服装产品""称号。",苏齐,张劲 (69.40%),广东省广州市黄埔区开创大道2511号雪松中心
002486.SZ,上海嘉麟杰纺织品股份有限公司,嘉麟杰,,面向户外运动的高档织物面料及成衣的生产和销售。,　　高档织物面料的织染及后整理加工，服装服饰产品、特种纺织品的生产和销售，纺织纤维、天然纤维、纺织品、服装服饰及辅料、鞋帽、日用百货的批发和进出口业务，纺织机器设备的经营性租赁。[依法须经批准的项目，经相关部门批准后方可开展经营活动],"上海嘉麟杰纺织品股份有限公司的主营业务为面向户外运动的高档织物面料及成衣的生产和销售；公司的主要产品为自主研发的三大针织面料系列，即以高弹纤维形成高密挡风层服装面料为代表的起绒类面料系列、以薄型保暖弹性内衣面料为代表的纬编羊毛面料系列和以导湿保暖空气夹层服装面料为代表的运动型功能面料系列；自建立以来，公司先后获得授权专利101项,注册商标44项；主持或参与制定国家标准,行业标准和团体标准11项；中国纺织工业联合会科技进步奖一,二,三等奖，连续十一年获得中国纺织工业联合会针织内衣创新贡献奖，并入选中国服装业协会评选的“2019年中国服装行业营业收入百强企业排行榜”名单。",曾冠钧,李兆廷 (10.39%),上海市金山区亭林镇亭枫公路1918号
002487.SZ,大金重工股份有限公司,大金重工,辽宁大金重工股份有限公司,风力发电设备制造。,　　一般项目：风力发电机组及零部件销售；风力发电技术服务；海上风电相关装备销售；海上风电相关系统研发；金属结构制造；金属结构销售；海洋工程装备制造；海洋工程装备销售；新能源原动设备制造；新能源原动设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；以自有资金从事投资活动。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,大金重工股份有限公司主营业务为风力发电设备制造。公司主要产品是常规陆塔、大直径分片式陆塔、低风速柔性高塔、海塔、单桩、群桩、导管架、海上升压站等风电设备及相关零部件。公司多次被客户授予“质量标杆”、“五星供应商”、“金牌供应商”等荣誉。,金鑫,金鑫 (39.32%),辽宁省阜新市新邱区新邱大街155号
002488.SZ,浙江金固股份有限公司,金固股份,,钢制滚型车轮的研发、生产和销售。,　　货运（范围详见《中华人民共和国道路运输经营许可证》）。汽车零部件、热镀锌钢圈制造，车轮生产(限分支机构经营），热浸铝、小五金加工，钢材、汽车零部件的销售，经营进出口业务（国家法律法规禁止、限制的除外）；金属表面处理设备的生产及维修；金属制品、通用设备的销售。房地产的开发与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江金固股份有限公司是一家聚焦汽车车轮生产的高新技术企业，致力于车轮的轻量化研发和制造，深耕多年自主研发的“阿凡达”轻量化车轮技术大幅减碳对应能源转型，战略上高度契合国家关于“碳达峰，碳中和”的发展规划，使金固成为全球领先的车轮生产企业。公司的主要产品为钢制滚型车轮，EPS绿色免酸洗金属表面处理设备，汽配供应链专业服务，分布式光伏发电。公司还是商务部和国家发改委认定的首批“国家汽车零部件出口基地企业”，被中国汽车工业协会评选为“中国汽车零部件车轮行业龙头企业”。,孙锋峰,孙锋峰 (10.03%)，孙金国 (5.10%)，孙利群 (2.05%),浙江省杭州市富阳区富春街道公园西路1181号
002489.SZ,浙江永强集团股份有限公司,浙江永强,,户外休闲家具及用品的设计研发、生产和销售。,　　户外用品及家具、遮阳用品、工艺品、金属铁制品的制造、销售；经营进出口业务，投资管理。,浙江永强集团股份有限公司的主营业务是户外休闲家具及用品的设计研发、生产和销售的企业。主要产品是休闲家具、遮阳家具、金属制品、旅游及咨询服务。,谢建勇,谢建勇 (18.04%)，谢建平 (17.17%)，谢建强 (16.34%)，谢先兴 (2.37%),浙江省台州市临海市前江南路1号
002490.SZ,山东墨龙石油机械股份有限公司,山东墨龙,,主要从事能源装备行业所需产品的设计研发、加工制造、销售服务与出口贸易。,　　抽油泵、抽油杆、抽油机、抽油管、石油机械、纺织机械、钢压延加工、特种设备制造、齿轮及齿轮减、变速箱制造、石油钻采专用设备制造、阀门和旋塞制造、冶金专用设备制造、机械零部件加工的生产及销售；石油机械及相关产品的开发；商品信息服务(不含中介)；技术推广服务；节能技术推广服务；技术进出囗；货物进出口；检测服务；计量服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动，有效期限以许可证为准）。,"山东墨龙石油机械股份有限公司主要从事能源装备行业所需产品的设计研发、加工制造、销售服务与出口贸易。产品主要有石油钻采机械装备、石油天然气输送装备、油气开采装备、主要关键部件、铸锻产品等。公司较早通过了ISO9001国际质量体系认证,2009年又通过了ISO14001和OHSAS18001管理体系认证.主导产品获准使用美国石油学会API会标,为公司顺利进入国内外油田市场取得了通行证。根据山东省科学技术厅、山东省财政厅、山东省国家税务局、山东省地方税务局鲁科字[2018]37号文件《关于认定威海拓展纤维有限公司等2078家企业为2017年度高新技术企业的通知》的规定，本公司被认定为高新技术企业，高新技术企业证书编号为GR201737001253号，发证时间为2017年12月28日，资格有效期3年。",袁瑞,寿光市国有资产监督管理局 (29.53%),山东省潍坊市寿光市圣城街企业总部群19号楼8-10层
002491.SZ,通鼎互联信息股份有限公司,通鼎互联,江苏通鼎光电股份有限公司,通信光缆、电缆的研发、生产、销售。,　　互联网网页设计；计算机网络集成技术服务；无线通信设备、传输设备、数据通信设备、宽带多媒体设备、物联网及通信相关领域产品的研发、生产、销售、技术服务；市话电缆、特种电缆、光缆、双芯铁芯电话线、双芯铜包钢电话线、电线电缆、光纤、通信电缆、RF电缆、泄漏同轴电缆、室内光缆生产、销售及相关检测技术服务；光电缆原材料销售；废旧金属回收；道路普通货物运输；自营和代理各类商品和技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,通鼎互联信息股份有限公司是一家从事通信光电缆研发、生产和销售的公司。公司目前的业务主要包括通信光电缆、ODN设备、网络安全和移动互联网业务四大板块。公司的生产规模和供货能力位居行业前列。截至目前公司共参与国行标起草117项，其中国际标准1项、国家标准27项、国家军用标准11项，行标78项；117项标准中已发布标准64项、在研标准53项。,沈小平,沈小平 (33.99%),江苏省苏州市吴江区震泽镇八都经济开发区小平大道8号
002492.SZ,珠海恒基达鑫国际化工仓储股份有限公司,恒基达鑫,,石化产品的码头装卸及仓储服务。,　　液体化工产品的码头、仓储的建设与经营；汽油、煤油、柴油和植物油产品的仓储及公共保税仓库（以上属许可项目的按相关许可证及批准书许可的内容经营）。,珠海恒基达鑫国际化工仓储股份有限公司是一家专业的第三方石化物流服务提供商。公司主要从事为国内石化产品生产商、贸易商的进出口货物提供码头装卸、仓储、管道输送、装卸业务、仓储业务；为境外客户提供码头驳运中转、保税仓储服务。,王青运,王青运 (41.40%),广东省珠海市金湾区高栏港经济区南迳湾
002493.SZ,荣盛石化股份有限公司,荣盛石化,,各类化工品、油品、化纤产品的研发、生产和销售。,　　涤纶丝，化纤布的制造、加工，纸制品加工，轻纺原料及产品，五金，化工产品及原料（除化学危险品及易制毒化学品）的销售，实业投资，普通货物的仓储服务（不含危险品），道路货物运输（凭有效许可证经营），经营进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,荣盛石化股份有限公司主要从事各类石化及化纤产品的研发、生产和销售。主要包括烯烃及其下游、芳烃及其下游、汽油、柴油、煤油、精对苯二甲酸（PTA）、聚酯（PET）切片、聚酯（PET）瓶片、涤纶预取向丝（POY）、涤纶全牵引丝（FDY）和涤纶加弹丝（DTY）等三十多类产品。公司为国内综合实力领先的石化和化纤行业的龙头企业之一。公司获得“高新技术企业”、“中国纺织品牌文化50强企业”、“浙江省知名商号”、“浙江省著名商标”、“出入境检验检疫信用管理AA级企业”、“机器换人示范应用企业”、“化纤行业智能制造先进企业”、“浙江省纺织标准化工作优秀单位”等荣誉。,李水荣,李水荣 (45.39%),浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼
002494.SZ,华斯控股股份有限公司,华斯股份,华斯农业开发股份有限公司,裘皮制品的设计、研发和制造、销售以及裘皮行业上下游的平台打造，物业园区管理等。,　　服装制造；服饰制造；服装服饰零售；毛皮鞣制加工；毛皮制品加工；皮革制品制造；服饰研发；服装服饰批发服装；辅料销售；货物进出口；技术进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；自有资金投资的资产管理服务；品牌管理；以自有资金从事投资活动；农副产品销售；畜禽收购；非居住房地产租赁；普通货物仓储服务（不含危险化学品等需许可审批的项目）；园区管理服务；物业管理；商业综合体管理服务；（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,华斯控股股份有限公司主营业务为裘皮制品的设计、研发和制造、销售以及裘皮行业上下游的平台打造，物业园区管理等。公司的主要产品为服装、裘皮饰品、裘皮皮张、裘皮面料。公司自主品牌“怡嘉琦”以“奢华、典雅、独特、时尚”为主题，获得“中国驰名商标”、“中国名牌”和“中国真皮标志”等荣誉称号。,贺国英,贺国英 (31.99%),河北省沧州市肃宁县尚村镇
002495.SZ,广东佳隆食品股份有限公司,佳隆股份,,鸡粉、鸡精产品的研发、生产和销售。,　　许可项目：食品生产；食品销售；食品添加剂生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：食品销售（仅销售预包装食品）；食品添加剂销售；进出口代理；货物进出口；技术进出口；住房租赁；非居住房地产租赁；租赁服务（不含许可类租赁服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,广东佳隆食品股份有限公司是一家从事鸡粉、鸡精产品的研发、生产和销售的公司。公司产品为第三代鲜味调味品鸡粉、鸡精。公司商标被认定为“中国驰名商标”。,林平涛,林平涛 (17.15%)，林长浩 (8.36%)，许巧婵 (6.09%)，林长青 (4.82%)，林长春 (1.88%),广东省揭阳市普宁市池尾工业区上寮园256幢0138号
