,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
603527.SH,安徽众源新材料股份有限公司,众源新材,,紫铜带箔材的研发、生产和销售业务。,　　有色金属带箔生产、加工、销售；有色金属材料加工、销售；自营和代理各类商品和技术进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。,安徽众源新材料股份有限公司主要从事紫铜带箔材的研发、生产和销售业务。公司的主要产品为铜板带。公司紫铜带箔材产品在下游客户中树立了良好口碑，并获得安徽省商标品牌示范企业证书、2020安徽省制造业百强、安徽省优秀民营企业等多项由政府部门、行业协会等颁发的荣誉。,封全虎,封全虎 (34.34%)，周丽 (1.61%),安徽省芜湖市鸠江区经济技术开发区凤鸣湖北路48号
603528.SH,多伦科技股份有限公司,多伦科技,南京多伦科技股份有限公司,机动车驾驶人智能培训和考试系统、智能交通类产品、驾驶模拟训练系统等的研发、生产和销售。,　　机动车驾驶员信息化培训和考试系统、虚拟仿真系统、交通信号控制系统及交通设施、城市智能化交通综合管理平台、综合通讯系统、城市智能化安防视频监控系统、计算机系统、计算机软件及辅助设备、电子产品及其它电子信息工程的设计、开发、生产、销售、施工、安装、服务及信息化应用与系统集成；机动车驾驶员技能培训；机械设备、电子设备租赁；房屋、自有场地租赁；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品及技术除外）；机动车检测系统及设备、机动车排放污染物遥感遥测系统及设备、环保测试系统及设备的研制、生产和销售；环境监测仪器仪表、空气污染治理相关设备的研制、生产和销售；机动车检测行业联网监管系统、机动车排放污染物实时监控系统的研制、生产、销售、系统集成和管理服务；机动车辆综合性能检测、机动车安全性能检测、机动车尾气排放检测；企业管理服务；企业管理咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,多伦科技股份有限公司致力于智能交通领域的多元化发展，围绕技术创新和科技强警的主线开拓产品，包括：城市智能交通综合管理平台、交通信号控制系统、信息采集系统、交通诱导系统、违章执法系统、数字监控系统、单警通讯装备、机动车驾驶人智能化考试管理平台等，公司是国家高新技术企业、公安部认定的机动车驾驶人技能考试研究示范基地、人社部认定的博士后科研工作站、江苏省物联网应用示范工程建设单位、江苏省第一批重点企业研发机构。,章安强,章安强 (66.16%),江苏省南京市江宁区科学园天印大道1555号
603529.SH,爱玛科技集团股份有限公司,爱玛科技,爱玛科技股份有限公司,电动自行车、电动轻便摩托车、电动摩托车等的研发、生产及销售。,　　自行车、电动自行车、电动三轮车、电动四轮车（汽车除外）、观光车（汽车除外）、非公路休闲车（汽车除外）、体育器材及其零部件制造、研发、加工、组装；自行车、电动自行车、电动摩托车及其零部件销售及售后服务；五金交电、化工产品（化学危险品、易制毒品除外）批发兼零售；货物及技术的进出口；提供商务信息咨询、财务信息咨询、企业管理咨询、技术咨询、市场营销策划及相关的业务咨询；公共自行车智能管理系统的研发、基础施工、安装、调试、维修及技术服务；房屋租赁；物业管理服务。（法律、行政法规另有规定的除外）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"爱玛科技集团股份有限公司主营业务为电动自行车的研发、生产及销售，公司的主要产品为电动自行车。公司自2012年起连续七年荣获工信部发布的C-BPI（中国品牌力指数）电动自行车行业品牌力第一名，自2013年起连续四年获得电动自行车行业顾客满意度第一名。公司于2018年5月28日获得了国家轻型电动车及电池产品质量监督检验中心、工业产品(轻型电动车及电池)质量控制和技术评价实验室颁发的“首批符合新国标电动自行车生产企业”证书。2018年9月,质量监督部门严格查核各企业的质量诚信问题,公司凭借诚信为本的创业理念和卓越过硬的产品质量获得中国质量检验协会颁发的“全国质量诚信标杆典型企业”的称号(编号为中检协证明[2018]QM0207号)。",张剑,张剑 (68.77%)，张格格 (1.11%),天津市静海区经济开发区南区爱玛路5号
603530.SH,江苏神马电力股份有限公司,神马电力,,主要从事电力系统变电站复合外绝缘、输配电线路复合外绝缘和橡胶密封件等产品的研发、生产与销售。,　　橡胶制品（橡胶密封件），空心、支柱、线路绝缘子及套管，输电杆塔及横担，输电导线，干式绝缘管型母线，电缆附件，变电构支架，气体绝缘管道母线，盆式绝缘子，绝缘子辅助伞裙，输变（配）电设备及其零件的生产、销售；机械模具、配件加工、销售及技术开发、技术支持、技术服务、技术咨询；经营本企业自产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务（国家限定公司经营或禁止进出口的商品及技术除外）。（生产、加工另设分支机构）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"江苏神马电力股份有限公司主要从事电力系统变电站复合外绝缘、输配电线路复合外绝缘和橡胶密封件等产品的研发、生产与销售。公司变电站复合外绝缘产品主要包括变电站复合绝缘子(空心复合绝缘子、支柱复合绝缘子)、变压器复合套管、开关复合套管等；输配电线路复合外绝缘产品主要包括线路复合绝缘子和复合横担(输电塔复合横担和配电网复合横担)。目前,公司是国际知名的电力系统复合外绝缘产品研制企业与国内电力设备用橡胶密封件龙头企业。",马斌,马斌 (58.26%)，陈小琴 (19.59%),江苏省南通市崇川区南通市苏通科技产业园海维路66号
603533.SH,掌阅科技股份有限公司,掌阅科技,,"互联网数字阅读平台服务(包括数字阅读付费及商业化增值业务),版权产品业务。",　　技术推广服务；计算机系统服务；公共软件服务；经济贸易咨询；投资咨询；销售电子产品、文具用品、机械设备；设计、制作、代理、发布广告；版权贸易；信息服务业务（仅限互联网信息服务）不含信息搜索查询服务、信息社区服务、信息即时交互服务和信息保护和加工处理服务（增值电信业务经营许可证有效期至2024年12月04日）；信息服务业务（不含互联网信息服务）（增值电信业务经营许可证有效期至2024年09月17日）；出版物批发、零售；从事互联网文化活动；中国内地已正式出版的出版物内容的网络（含手机网络）传播；互联网游戏、手机游戏出版（网络出版服务许可证有效期至2021年12月31日）。（企业依法自主选择经营项目，开展经营活动；从事互联网文化活动、出版物批发、零售以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,掌阅科技股份有限公司成立于2008年9月，于2017年9月登陆上海证券交易所主板上市，股票简称：掌阅科技，股票代码：603533，是全球领先的数字阅读平台之一。主要产品及服务包括掌阅APP、掌阅文学、掌阅精选、掌阅课外书、掌阅国际版、iReader阅读器等。掌阅先后与国内外千余家优质的版权方合作，为全球150多个国家和地区的用户提供高品质的图书内容和智能化的阅读体验。公司主营业务为数字阅读平台服务（包括数字阅读付费及商业化增值业务）、版权产品业务（包括向阅读、影视、游戏等各类文化娱乐类客户输出其内容价值和IP价值）。曾荣获第四届“世界知识产权组织版权金奖”；第四届、第五届“中国出版政府奖先进出版单位”；多次入选“国家文化出口重点企业”、“全国文化企业30强”提名；获批成为“国家文化和科技融合示范基地”。,成湘均,张凌云 (22.66%)，成湘均 (21.27%),北京市朝阳区四惠东四惠大厦二层2029E
603535.SH,广州市嘉诚国际物流股份有限公司,嘉诚国际,,为制造业客户提供定制化物流解决方案及全程供应链一体化综合物流服务。,　　运输货物打包服务；航空运输货物打包服务；装卸搬运；海上国际货物运输代理；陆路国际货物运输代理；航空国际货物运输代理；国内货物运输代理；国际货物运输代理；普通货物仓储服务（不含危险化学品等需许可审批的项目）；供应链管理服务；住房租赁；仓储设备租赁服务；土地使用权租赁；非居住房地产租赁；低温仓储（不含危险化学品等需许可审批的项目）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；厨具卫具及日用杂品批发；卫生洁具销售；家用电器销售；家用电器零配件销售；化工产品销售（不含许可类化工产品）；橡胶制品销售；橡胶加工专用设备销售；高品质合成橡胶销售；厨具卫具及日用杂品零售；日用品销售；日用品批发；家用视听设备销售；日用家电零售；制冷、空调设备制造；制冷、空调设备销售；互联网销售（除销售需要许可的商品）；电器辅件销售；电气机械设备销售；电气设备销售；家用电器制造；家用电器安装服务；家用电器研发；普通机械设备安装服务；日用电器修理；日用产品修理；通用设备修理；无船承运业务；食品经营（仅销售预包装食品）；安全咨询服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；智能港口装卸设备销售；港口理货；信息系统集成服务；工程管理服务；卫生用品和一次性使用医疗用品销售；第一类医疗器械销售；第二类医疗器械销售；电子、机械设备维护（不含特种设备）；电气设备修理；机械零件、零部件加工；电器辅件制造；配电开关控制设备制造；输配电及控制设备制造；配电开关控制设备研发；通用零部件制造；金属结构制造；金属结构销售；智能仓储装备销售；劳务服务（不含劳务派遣）；园区管理服务；物业管理；道路货物运输（网络货运）；进出口商品检验鉴定；报关业务；进出口代理；海关监管货物仓储服务（不含危险化学品）；保税仓库经营；出口监管仓库经营；货物进出口；技术进出口；国际道路货物运输；道路货物运输（含危险货物）；道路货物运输（不含危险货物）；食品互联网销售（销售预包装食品）；港口经营；住宅室内装饰装修；检验检测服务；保税物流中心经营。,广州市嘉诚国际物流股份有限公司主营业务是为制造业客户提供定制化物流解决方案及全程供应链一体化综合物流服务。公司利用自动化物流设备和先进的物流信息管理系统，为电子商务企业特别是跨境电商企业提供个性化的全球物流解决方案及包括干、仓、关、配在内的全链路物流服务。包括智能仓储保管、装卸搬运、包装、运输及协同配送、流通加工以及物流信息传递等全程物流服务和个性化的物流解决方案。,段容文,段容文 (31.91%)，黄艳婷 (11.51%)，黄平 (8.93%)，黄艳芸 (6.67%),广东省广州市南沙区东涌镇骏马大道8号
603536.SH,山东惠发食品股份有限公司,惠发食品,,速冻类预制菜的丸类制品、肠类制品、油炸类制品、串类制品、菜肴制品等速冻食品的研发、生产和销售。,　　一般项目：农产品的生产、销售、加工、运输、贮藏及其他相关服务；食用农产品初加工；普通货物仓储服务（不含危险化学品等需许可审批的项目）；土地使用权租赁；非居住房地产租赁；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：食品生产；粮食加工食品生产；食品经营（销售预包装食品）；食品经营；食品经营（销售散装食品）；货物进出口；调味品生产；饮料生产（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）,"山东惠发食品股份有限公司主要从事包括速冻丸类制品、肠类制品、油炸类制品和串类制品等在内的速冻调理肉制品的研发、生产和销售业务。公司速冻丸类制品主要包括鸡肉丸,鱼丸,四喜丸子等产品，肠类制品包括亲亲肠,桂花肠,腰花肠等产品，油炸类包括鱼豆腐,五福脆,甜不辣等产品，串类制品包括川香鸡柳,骨肉相连等产品。公司为集速冻调理肉制品研发、生产和销售于一体的大型食品加工企业，先后通过了ISO 9001:2015质量管理体系认证，ISO22000：2005食品安全管理体系认证，ISO14001:2015环境管理体系认证，安全生产标准化一级企业认证，ISO9001:2015质量管理体系认证和ISO22000:2005食品安全管理体系认证。",惠增玉,惠增玉 (45.41%)，赵宏宇 (3.08%),山东省潍坊市诸城市历山路60号
603538.SH,宁波美诺华药业股份有限公司,美诺华,,医药原料及中间体、化工原料及产品的销售；医药原料、制剂、硬胶囊及中间体的研发；自营或代理各类商品和技术的进出口业务。,　　片剂、胶囊生产（限分支机构经营）。（在许可证有效期内经营）医药原料及中间体、化工原料及产品的销售；医药原料、制剂、硬胶囊及中间体的研发；自营或代理各类商品和技术的进出口业务，但国家禁止或限定经营的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"宁波美诺华药业股份有限公司目前主要从事医药原料及中间体、化工原料及产品的销售；医药原料、制剂、硬胶囊及中间体的研发；自营或代理各类商品和技术的进出口业务，其主要类别包括心血管类和肠胃类等药物。公司主要产品为缬沙坦、氯沙坦、培哚普利、瑞舒伐他汀、阿托伐他汀、氯吡格雷和埃索美拉唑、噻氯匹定、度洛西汀和米氮平等。公司重要的原料药生产基地均为国家高新技术企业，且均建立了严格的质量管理体系、EHS管理体系，并通过欧盟、中国、日本等规范市场的GMP认证。公司是中国医药国际化百强企业,国际市场优质供应商与合作伙伴(位列60强)，核心产品覆盖心血管,中枢神经,胃肠消化道等治疗领域，是国内出口欧洲特色原料药品种最多的企业之一。",姚成志,姚成志 (24.76%),浙江省宁波市鄞州区高新区扬帆路999弄1号1406室
603551.SH,奥普家居股份有限公司,奥普家居,杭州奥普卫厨科技有限公司,主要从事以浴霸、晾衣机、照明为主的家电产品和以集成吊顶、集成墙面、全功能阳台为主的家居产品的研发、生产、销售及服务提供。,"　　研发、生产、销售:家用卫浴电器、通风置换设备、冷暖设备、集成吊顶、家用电力器具、家居装饰材料、金属制品、金属材料(以上除贵重金属)、家用厨房电器、集成灶(凭有效许可证生产)、厨具产品、水槽、橱柜、木塑制品、家居装饰材料、照明器具、智能家居产品、电子产品及配件、电器开关、卫浴洁具、家具,并提供上述产品的安装、售后维修服务。(涉及国家规定实施准入特别管理措施的除外)(依法须经批准的项目,经相关部门批准后方可开展经营活动)","奥普家居股份有限公司主营业务以浴霸、晾衣机、照明为主的家电产品和以集成吊顶、集成墙面、全功能阳台为主的家居产品的研发、生产、销售及服务提供。公司产品有浴霸、集成吊顶、晾衣机、集成灶和其他。经过多年的投入和技术积累,公司的创新研发能力一直处于行业领先地位。公司获得的主要荣誉有中装协天花吊顶协会颁发的“集成吊顶行业十大品牌”，中国家用电器研究院颁发的“好产品”奖等。",Fang James,方胜康 (27.32%)，Fang James (26.22%),浙江省杭州市钱塘区杭州经济技术开发区21号大街210号
603555.SH,贵人鸟股份有限公司,贵人鸟,,运动鞋服的设计、研发、生产和销售。,　　一般项目：鞋制造；服饰制造；服饰研发；鞋帽零售；鞋帽批发；服装服饰零售；服装服饰批发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；专业设计服务；体育用品及器材制造；体育用品及器材批发；体育用品及器材零售；皮革制品制造；皮革制品销售；货物进出口；技术进出口；贸易经纪与代理（不含拍卖）；销售代理；贸易经纪；食品销售（仅销售预包装食品）；粮食收购；食用农产品零售；初级农产品收购；农副产品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,"贵人鸟股份有限公司是中国知名的运动鞋服品牌企业,主要从事运动鞋服的设计、研发、生产和销售。本公司主要产品为服装、鞋、配饰、招商及代运营。",李志华,李志华 (16.29%),福建省泉州市晋江市陈埭镇沟西村贵人鸟股份有限公司老厂
