,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
301239.SZ,成都普瑞眼科医院股份有限公司,普瑞眼科,,"为眼科疾病患者提供诊断,治疗,保健及医学验光配镜等眼科全科医疗服务。",　　验光配镜；内科；呼吸内科专业；消化内科专业；心血管内科专业；肾病学专业；内分泌专业/眼科/麻醉科/医学检验科；临床体液、血液专业；临床微生物学专业；临床化学检验专业；临床免疫、血清学专业/医学影像科；X线诊断专业；超声诊断专业；心电诊断专业。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,成都普瑞眼科医院股份有限公司是一家集门诊、临床、医疗和医疗技术开发为一体的专业连锁眼科医疗机构，主营业务为向眼科疾病患者提供专业的眼科医疗服务。公司的产品或服务主要包括屈光项目、白内障项目、医学视光项目和综合眼病项目，具体包含了屈光手术、医学验光配镜、白内障、青光眼、斜弱视与小儿眼病、眼底病、眼整形及泪道、角膜病等眼科全科诊疗项目。公司专注于眼科医疗服务行业10余年，公司已在北京、上海、天津、重庆、成都、武汉、昆明、兰州、合肥、郑州、南昌、乌鲁木齐、哈尔滨、济南、西安、贵阳、沈阳开办了18家普瑞眼科医院，形成了全国网络布局。公司已具备开展眼科全科诊疗项目的能力，能够及时有效处理各种眼疾问题，在当地及周边区域具有一定的品牌影响力。从连锁医院数量考量，公司是国内非公立眼科医疗服务行业中规模位居前列的全国性眼科连锁医疗服务机构。,徐旭阳,徐旭阳 (49.53%),上海市长宁区茅台路899号
301269.SZ,北京华大九天科技股份有限公司,华大九天,北京华大九天软件有限公司,从事用于集成电路设计与制造的EDA工具软件开发、销售及相关服务业务。,　　技术推广服务；软件设计；产品设计；计算机系统服务；货物进出口、代理进出口、技术进出口；集成电路设计；出租办公用房；软件开发；销售电子产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,北京华大九天科技股份有限公司主要从事用于集成电路设计与制造的EDA工具软件开发、销售及相关服务业务。公司主要产品包括模拟电路设计全流程EDA工具系统、数字电路设计EDA工具、平板显示电路设计全流程EDA工具系统和晶圆制造EDA工具等EDA工具软件，并围绕相关领域提供技术开发服务。公司相关产品和服务主要应用于集成电路设计及制造领域。,刘伟平,,北京市朝阳区利泽中二路2号A座二层
301306.SZ,西安西测测试技术股份有限公司,西测测试,,军用装备和民用飞机产品检验检测的第三方检验检测服务机构，为客户提供环境与可靠性试验、电子元器件检测筛选、电磁兼容性试验等检验检测服务，同时开展检测设备的研发和销售以及电装业务。,　　许可经营项目：检测试验技术服务；计量校准技术服务；检测试验技术咨询；电磁兼容检测。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般经营项目：软件测评技术服务。（上述经营范围涉及许可经营项目的，凭许可证明文件或批准证书在有效期内经营，未经许可不得经营),西安西测测试技术股份有限公司主要从事军用装备和民用飞机产品检验检测的第三方检验检测服务机构，为客户提供环境与可靠性试验、电子元器件检测筛选、电磁兼容性试验等检验检测服务，同时开展检测设备的研发和销售以及电装业务。公司的主要服务为环境与可靠性试验、电子元器件检测筛选、电磁兼容性试验、检测设备研发、生产及销售业务。公司高度重视技术研发和自主创新，是国家级高新技术企业，拥有12项专利、86项软件著作权，参与制定了《试验和导则：大型试件砂尘试验》（GB/T 2423.61-2018）和《电工电子产品成熟度试验方法》（GB/T 37143-2018）两项国家标准。公司是陕西省博士后创新基地、陕西省中小企业创新研发中心、2019年陕西省民营经济转型升级示范企业、西安市服务业综合改革试点单位。,李泽新,李泽新 (50.21%),陕西省西安市雁塔区高新区丈八二路16号
301312.SZ,深圳市智立方自动化设备股份有限公司,智立方,,工业自动化设备的研发、生产、销售及相关技术服务。,　　一般经营项目是：自动化设备的研发、设计、销售、维修（测试）服务、生产及技术咨询；软件开发及销售；光学仪器设备软件的研发、设计、销售和技术咨询；自动化工程的技术咨询、技术开发；精密机械零部件、精密工装夹具的销售；芯片视觉检测设备，半导体元器件组装设备、封装测试设备、泛半导体设备的研发、设计和销售以及相关的技术咨询、技术服务；房屋租赁，物业管理；囯内贸易（不含专营、专卖、专控商品）；货物及技术进出口业务。许可经营项目是：自动化设备的生产，光学仪器设备软件的、光学仪器设备的生产，精密机械零部件、精密工装夹具的生产加工；芯片视觉检测设备，半导体元器件组装设备、封装测试设备、泛半导体设备的生产。,深圳市智立方自动化设备股份有限公司属于高端装备制造行业，是一家专注于工业自动化设备的研发、生产、销售及相关技术服务的高新技术企业，为下游客户智能制造系统、精益和自动化生产体系提供定制化专业解决方案，产品包括工业自动化设备、自动化设备配件及相关技术服务。公司核心业务为自动化测试设备及自动化组装设备业务，主要应用于消费电子、电子烟、工业电子、汽车电子、半导体等领域客户产品的光学、电学、力学等功能测试环节，以及产品的组装环节，帮助客户实现生产线的半自动化和全自动化，提高生产效率和产品良品率。,邱鹏,邱鹏 (32.73%)，关巍 (23.33%)，黄剑锋 (10.02%),广东省深圳市宝安区石岩街道塘头社区厂房A栋1层至3层、5层
603170.SH,上海宝立食品科技股份有限公司,宝立食品,上海宝立食品科技有限公司,食品调味料的研发、生产和技术服务。,　　许可项目：食品生产；食品经营；货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：从事食品科技领域内的技术开发、技术转让、技术咨询、技术服务、技术交流、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,上海宝立食品科技股份有限公司的主营业务为食品调味料的研发、生产和技术服务，主要产品包括复合调味料、轻烹解决方案和饮品甜点配料等。公司已通过ISO9001质量管理体系、FSSC22000食品安全体系、HACCP体系等认证，达到国际化安全和品质标准。公司及公司主要团队人员多次被百胜中国颁予“造桥人奖”、“金锅奖”，被麦当劳颁予“‘金’诚合作大奖”，被泰森中国和正大食品评选为优秀供应商等。2020年，公司荣获百胜中国“持续创新奖”、“R.E.D创意奖”和“百胜中国质量奖”等多项荣誉。,马驹,马驹 (19.96%)，胡珊 (12.36%)，周琦 (4.88%)，沈淋涛 (0.58%),上海市松江区茸北工业区茸兴路433号
603201.SH,常熟通润汽车零部件股份有限公司,常润股份,,各类千斤顶及其延伸产品的研发、制造和销售。,　　设计、生产、销售汽车配套千斤顶、专用千斤顶及其相关延伸产品，以汽车驻车制动机构、汽车拉索部件为主的汽车零部件，汽车举升机等汽车维修保养设备、工具；从事与本公司生产的同类商品的批发、进出口业务，并提供相关的技术及配套服务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按照国家有关规定办理申请）；道路普通货物运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,常熟通润汽车零部件股份有限公司的主营业务是各类千斤顶及其延伸产品的研发、制造和销售。公司主要产品包括各类千斤顶、汽车举升机、引擎吊机、维修用压机、工具箱柜、动力电池拆装设备、轮保设备及工具、钣喷工具、汽车美容工具等维修保养设备和工具，以及汽车配套千斤顶、驻车制动器、拉索、备胎升降器、拖车钩、补胎液套装等汽车配套零部件；在整车配套市场（OEM市场）和汽车后市场（AM市场）的维修保养装备方面拥有全品类供应能力，并积极布局新能源汽车维修装备产品。公司产品获得了TUV机构颁发的“德国GS”、“欧盟CE”认证证书，和作为整车厂一级供应商所必要的IATF16949质量认证。荣获“2018年度中国汽保设备生产企业出口二十强”、“2018年螺旋千斤顶单打冠军”、“2019年度中国汽保设备生产企业出口二十强”、“2020年中国重型机械协会卓越企业”等荣誉。,JUN JI,JUN JI (58.27%),江苏省苏州市常熟市常熟经济开发区新龙腾工业园
603211.SH,晋拓科技股份有限公司,晋拓股份,上海晋拓金属制品有限公司,铝合金精密压铸件的研发、生产及销售。,　　许可项目：道路货物运输（不含危险货物）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：从事汽车科技、新材料科技、新能源科技专业领域内的技术开发、技术转让、技术咨询、技术服务，汽摩配件、灯具配件、电动工具、马达配件、五金配件、防爆电器生产加工；注塑加工，金属切削加工，模具设计制造，电子元件生产及组装，通讯器材及配件、通讯设备及零部件，电子产品及配件，液晶显示器及配件，导航设备及配件销售，从事货物与技术的进出口业务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,晋拓科技股份有限公司的主营业务是铝合金精密压铸件的研发、生产及销售；公司的主要产品是汽车安全零部件、汽车动力零部件、新能源汽车零部件、智能家居零部件、工业自动化及机器人零部件、信息传输设备零部件。公司在2015年被中国铸造协会评为“中国压铸件企业20强”、2018年获批设立院士专家工作站、2019年和2021年被中国铸造协会评为“中国铸造行业压铸件生产企业综合实力50强”、“优质压铸件金奖”、“专精特新小巨人”等荣誉。,张东,张东 (40.69%)，何文英 (26.62%),上海市松江区新浜工业园区胡甪路368号
603235.SH,江西天新药业股份有限公司,天新药业,江西天新药业有限公司,单体维生素产品的研发、生产与销售。,　　原料药（凭《药品生产许可证》）、饲料添加剂（凭《饲料添加剂生产许可证》）、食品添加剂（凭《食品生产许可证》）生产和销售；医药中间体（不含危险化学品）制造和销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"江西天新药业股份有限公司主要从事单体维生素产品的研发、生产与销售，产品包括维生素B6、维生素B1、生物素、叶酸、维生素D3、抗坏血酸棕榈酸酯、维生素E粉等。公司产品不但畅销国内，而且远销亚洲、欧洲、北美洲、南美洲、大洋洲、非洲等国家和地区，受到客户的广泛认可，具有较高的行业美誉度，同时公司主要产品维生素B6和维生素B1在全球亦有较高的市场占有率。公司拥有发明专利21项，实用新型专利2项。“DC级维生素B6”、“2,4,5-三氨基-6-羟基嘧啶硫酸盐”、“高纯度叶酸”等8个细分规格产品获批《江西省重点新产品计划项目》；“维生素B1绿色合成技术”获江西省科技进步二等奖及景德镇市科技奖，“维生素B6噁唑法制备关键技术开发及产业化”获江西省科技进步二等奖，“维生素B6的制备方法”获景德镇市科技奖。",许江南,许江南 (49.58%)，许晶 (14.39%),江西省景德镇市乐平市乐安江工业园
688053.SH,成都思科瑞微电子股份有限公司,思科瑞,成都思科瑞微电子有限公司,军用电子元器件可靠性检测服务。,　　电子元器件的测试、筛选、监制验收、失效分析、破坏性物理分析（DPA）；电子元器件研发、设计、封装、检测、销售；软件开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,成都思科瑞微电子股份有限公司的主营业务为军用电子元器件可靠性检测服务，具体服务内容包括军用电子元器件的测试与可靠性筛选试验、破坏性物理分析（DPA）、失效分析与可靠性管理技术支持。公司已获得了24项专利，其中发明专利10项，并拥有94项软件著作权，经CNAS和DILAC认证的检测项目共计458项，具有较强的军用电子元器件可靠性检测能力。,张亚,张亚 (28.60%),四川省成都市龙泉驿区星光西路117号
688130.SH,杭州晶华微电子股份有限公司,晶华微,,高性能模拟及数模混合集成电路的研发与销售。,　　微电子集成电路及系统软、硬件研究、开发、生产和销售自产产品；提供相关业务的咨询和服务(国家禁止和限制的除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,杭州晶华微电子股份有限公司是一家新成立的外商独资高新技术IC设计企业。拥有一支技术深厚和创新能力强的模拟及混合集成电路设计工作的专业队伍。我们为客户提供专用集成电路设计、制图、并安排晶圆生产、芯片测试和封装等一整套的服务。 公司的产品市场定位主要集中在医疗、工控、通讯、仪表、航空航天、消费类家电等领域。我们在低能耗和低噪声电路、开关电容放大器及滤波器、不同结构的模/数及数/模转换器、电压准源、稳压器、电荷泵、交换控制、振荡器及遥控器等方面都有丰富的经验。公司获得“中国模拟半导体飞跃成就奖之优秀企业奖”、“中国IC设计公司成就奖”、“十大最具潜力企业奖”、“年度最佳放大器/数据转换器”、“SENSOR CHINA特别贡献奖”、“优秀支援抗疫产品”、等多项荣誉称号。,吕汉泉,吕汉泉 (43.89%)，罗洛仪 (10.76%),浙江省杭州市滨江区长河街道长河路351号4号楼5层A座501室
688231.SH,江苏隆达超合金股份有限公司,隆达股份,,高温合金、合金材料研发、生产和销售,　　生产有色金属复合材料、新型合金材料及其制品；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：金属材料制造；高性能有色金属及合金材料销售；新材料技术研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,江苏隆达超合金股份有限公司的主营业务是高温合金、合金材料研发、生产和销售。公司产品为高温合金、镍基耐蚀合金、合金管材。公司于2016年与2019年获得由江苏省科学技术厅、江苏省财政厅、江苏省国家税务局、江苏省地方税务局颁发的高新技术企业奖项称号；其子公司于2020年获得工信部授予的工业强基工程重点产品、工艺“一条龙”应用计划示范企业称号。,浦益龙,浦益龙 (43.72%)，虞建芬 (2.48%)，浦迅瑜 (2.48%),江苏省无锡市锡山区安镇街道翔云路18号
688237.SH,湖北超卓航空科技股份有限公司,超卓航科,,主要从事定制化增材制造和机载设备维修业务。,　　许可项目：民用航空器维修；民用航空器零部件制造（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：民用航空材料销售；机械零件、零部件加工；机械零件、零部件销售；机械设备研发；金属制品研发；包装专用设备制造；包装专用设备销售；制浆和造纸专用设备制造；制浆和造纸专用设备销售；印刷专用设备制造；通用设备制造（不含特种设备制造）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；机械设备销售；有色金属合金制造；有色金属合金销售；增材制造装备销售；增材制造装备制造；增材制造；金属切削加工服务；喷涂加工；金属表面处理及热处理加工；贵金属冶炼；特种设备出租；涂料销售（不含危险化学品）；涂料制造（不含危险化学品）；3D打印基础材料销售；3D打印服务；高铁设备、配件制造；高铁设备、配件销售；专用设备制造（不含许可类专业设备制造）；新材料技术研发（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）,湖北超卓航空科技股份有限公司的主营业务是定制化增材制造和机载设备维修。公司的主要服务为机体结构再制造、零部件生产制造及机载设备维修。公司获得的与科研相关的主要荣誉、奖项及资质有2021年湖北省专精特新“小巨人”企业、2020年第二十四届全国发明展览会“发明创业奖·项目奖”银奖、第八届绿色制造科学技术进步奖“绿色制造技术进步奖”三等奖。,李光平,李羿含 (22.67%)，李光平 (15.77%)，王春晓 (11.33%),湖北省襄阳市樊城区高新区台子湾路118号
