,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
300466.SZ,赛摩智能科技集团股份有限公司,赛摩智能,赛摩电气股份有限公司,为工厂智能化提供全面解决方案及工业互联网平台。,　　许可项目：货物进出口；技术进出口；进出口代理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：物联网技术服务；信息系统集成服务；软件开发；云计算设备销售；智能机器人销售；智能物料搬运装备销售；智能仓储装备销售；智能控制系统集成；智能仪器仪表制造；工业机器人制造；工业自动控制系统装置制造；机械电气设备制造；衡器制造；物料搬运装备制造；普通机械设备安装服务；承接总公司工程建设业务；对外承包工程（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,赛摩智能科技集团股份有限公司一直致力于为客户提供煤能源及其它矿物料计量、采样的最佳解决方案，不断开发煤能源及其它矿物料计量采样设备领域内的新技术、新产品。公司主要产品为计量检测产品、包装码垛产品、自动化项目、智能物流系统、信息化项目等。公司与山东省计量科学研究院联合申报的“自动衡器智能测控平台研制与应用”项目获得中国轻工业联合会科技进步奖一等奖；“机器人全自动制样系统”荣获中国优秀工业设计优秀奖、中国轻工业联合会科技进步二等奖、江苏省首台（套）重大装备荣誉称号；当选全国首家数字经济商会副会长单位。,黄小宁,洛阳市人民政府国有资产监督管理委员会 (49.09%),江苏省徐州市鼓楼区经济开发区螺山路2号
300467.SZ,四川迅游网络科技股份有限公司,迅游科技,,为全球互联网用户提供差异化通讯服务。,　　计算机软、硬件产品的开发及销售；生产、开发、销售电子仪器设备、光电设备、通讯设备（不含卫星地面接收设备和无线电发射设备）；测量及控制设备系统集成工程的技术开发；电子仪器及设备的机械加工；网络技术服务、咨询；设计、制作、代理、发布广告（不含气球广告）；第一类增值电信业务中的国内互联网虚拟专用网业务（全国）、因特网数据中心业务（北京1直辖市以及成都1城市）、第二类增值电信业务中的信息服务业务（不含固定网电话信息服务）、因特网接入服务业务（北京1直辖市以及成都1城市）；增值电信业务经营（凭增值电信业务经营许可证在有效期内经营）；游戏产品运营，网络游戏虚拟货币交易（凭网络文化经营许可证在有效期内经营）。（依法须经批准的项目，经相关部门批准后方可展开经营活动）。,四川迅游网络科技股份有限公司主营业务是为全球互联网用户提供差异化通讯服务。公司目前主要产品是“迅游网游加速器”。“迅游网游加速器”是基于公司独立研发的SCAP，运用互联网智能路由导航、云加速节点部署SMART智慧算法等多项加速技术，能够有效解决玩家在网游中遇到的延时过高、登录困难、容易掉线等问题。在行业内具备较高的知名度和较强的竞争优势。,陈俊,贵阳市国有资产监督管理委员会 (6.83%),四川省成都市武侯区高新区世纪城南路599号7栋6、7层
300468.SZ,深圳四方精创资讯股份有限公司,四方精创,,软件开发、系统集成、技术维护、顾问咨询、产品及解决方案、交付运维业务。,　　从事计算机软、硬件的技术开发，销售自行开发软件。增加：数据库的设计、开发和维护；计算机系统集成及其相关的技术咨询、维护。计算机软、硬件的批发、佣金代理（不含拍卖）、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项规定管理的商品，按国家有关规定办理申请）；技术进出口（不含分销）。,深圳四方精创资讯股份有限公司的主营业务是为境内外商业银行提供IT服务外包，公司的主要产品是咨询、维护及产品授权、软件开发、系统集成。,周志群,周志群 (22.79%),广东省深圳市南山区粤海街道高新区社区高新南七道8号四方精创资讯大厦
300469.SZ,上海信联信息发展股份有限公司,信息发展,上海中信信息发展股份有限公司,运用区块链和大数据等技术，面向智慧食安、智慧档案、智慧司法等政府和企业，为数字中国提供行业专有云综合解决方案。,　　计算机软硬件、系统集成、网络工程、电子信息领域内的“四技”服务，计算机软硬件、网络工程设备、公共安全防范工程设计及施工，建筑智能化工程设计与施工，计算机数据处理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,上海信联信息发展股份有限公司主要是运用区块链和大数据等技术，面向智慧食安、智慧档案、智慧司法等政府和企业，为数字中国提供行业专有云综合解决方案。其主要产品是系统集成、技术支持与服务和应用软件开发与销售。报告期内，公司共申请并获得受理发明专利2项；共申请软件著作权10项，申报软件产品登记11项。截止报告期末，公司及全资、控股子公司共取得国家知识产权局专利授权29项，计算机软件著作权419项，软件产品登记证书290项。,张曙华,中国交通通信信息中心 (6.81%),上海市青浦区崧泽大道6011号
300470.SZ,中密控股股份有限公司,中密控股,四川日机密封件股份有限公司,各类机械密封及其辅助（控制）系统的设计、研发、制造和销售，并为客户提供技术咨询、技术培训、现场安装、维修等全方位服务。,　　一般项目：密封件制造；通用零部件制造；机械零件、零部件加工；液气密元件及系统制造；金属制品修理；通用设备制造（不含特种设备制造）；密封件销售；机械零件、零部件销售；机械设备销售；货物进出口；特种设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业设计服务；终端测试设备销售；信息技术咨询服务；软件开发；工业互联网数据服务；仪器仪表销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：特种设备设计；特种设备制造；餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,中密控股股份有限公司主要从事各类机械密封及其辅助（控制）系统的设计、研发、制造和销售，并为客户提供技术咨询、技术培训、现场安装、维修等全方位技术服务。公司的主要产品为机械密封、干气密封、橡塑密封、机械密封辅助系统、密封产品修复、零配件和特种阀门。公司已与中石化、中石油、中海油、国家石油天然气管网集团、国家能源集团、中国中煤能源集团、中核集团、中广核集团、中国中铁集团、中国交通建设集团、万华集团、恒逸集团、三一集团以及国内外著名的主机厂西门子、沈鼓集团、陕鼓集团、苏尔寿、嘉利特荏原、大连深蓝、北京航天石化技术装备工程公司等建立了长期稳定的合作关系。,彭玮,四川省机械研究设计院(集团)有限公司 (22.08%),四川省成都市武侯区武科西四路八号
300471.SZ,厚普清洁能源(集团)股份有限公司,厚普股份,厚普清洁能源股份有限公司,天然气加注成套设备/氢能成套设备的研发、生产和集成；清洁能源领域及航空零部件领域核心零部件的研发和生产；天然气和氢能源等相关工程的EPC；智慧物联网信息化集成监管平台的研发、生产和集成；以及覆盖整个产业链的专业售后服务。,　　压缩、液化天然气、氢气的车用、船用、工业及民用加气站设备的设计、开发、制造（限在工业园区内经营）、销售、租赁、维修及技术服务（国家法律、法规禁止的除外）；机电产品、化工产品（不含危险品）、电子产品（国家有专项规定的除外）的设计、开发、制造（限在工业园区内经营）、销售、技术服务；船舶及船舶工程设计、咨询（凭资质证书经营）；消防设施工程、机电设备安装工程、化工石油设备管道安装工程（以上项目凭资质证书从事经营）；货物进出口、技术进出口；特种设备生产（凭特种设备生产许可证在核定范围内经营）（依法须经批准的项目，经相关部门批准后方可展开经营活动）。,厚普清洁能源(集团)股份有限公司主营业务为天然气加注成套设备/氢能成套设备的研发、生产和集成；清洁能源领域及航空零部件领域核心零部件的研发和生产；天然气和氢能源等相关工程的EPC；智慧物联网信息化集成监管平台的研发、生产和集成；以及覆盖整个产业链的专业售后服务。主要产品有氢能加注设备、天然气船用设备、天然气车用设备、天然气民用设备、EPC、工程案例、能源数据中心、云技术。公司还先后获得过“国家火炬计划重点高新技术企业”、“国家高新技术企业”、“国家级专精特新‘小巨人’企业”、“四川省企业技术中心”、“成都市物联网产业20强”、“2019年度中国新能源产业最具创新力企业”、“中国上市公司品牌500强”、“中国氢能产业贡献奖”等荣誉。,王季文,王季文 (25.73%),四川省成都市武侯区高新区康隆路555号
300472.SZ,万向新元科技股份有限公司,新元科技,江西万向新元科技股份有限公司,智能装备的研发、制造、销售并提供相应的成套解决方案。,　　智能装备、智能机器人、机电一体化设备的技术开发；基础软件服务；机械设备租赁（不含汽车租赁）；销售电子产品、安全技术防范产品、计算机、软件及辅助设备、机械设备；软件开发技术推广、技术转让、技术咨询、技术服务；计算机系统服务；数据处理；应用软件服务；烟气治理；废气治理；大气污染治理；固体废物污染治理；噪音、光污染治理；机电工程总承包及安装；环保工程专业承包；货物进出口、技术进出口、代理进出口；经营电信业务；加工制造环保设备、物料输送设备、物料称量配料设备、橡胶塑料生产设备。（企业依法自主选择经营项目，开展经营活动；经营电信业务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。）,"万向新元科技股份有限公司立足于智能装备制造行业,一直专注于智能装备的研发、制造、销售并提供相应的成套解决方案。公司主要产品包括智能输送配料装备、绿色环保装备、智能数字显控及存储装备、硅料循环利用智能装备、智能专用装备。公司是国家高新技术企业、国家标准化委员会橡胶塑料分会会员单位、全国橡塑机械信息中心理事单位、中国石油和化工橡塑节能环保中心理事单位、中国塑料机械工业协会第五届理事会会员单位、中国环境保护产业协会会员单位、中国环保机械行业协会理事单位,也是《GB/T25939-2010密闭式炼胶上辅机系统》和《GB/T25938-2010炼胶工序中小料自动配料称量系统》等国家标准的主要起草单位,是《GB50469-2016橡胶工厂环境保护设计规范》、《GB50376-2015橡胶工厂节能设计规范》、《GB/T50643-2018橡胶工厂职业安全与卫生设计标准》等国家标准的修订单位。",朱业胜,朱业胜 (7.82%)，曾维斌 (3.12%)，姜承法 (2.93%),北京市海淀区学清路8号科技财富中心B栋12层
300473.SZ,阜新德尔汽车部件股份有限公司,德尔股份,,汽车零部件系统的供应。,　　一般项目：汽车零部件研发，汽车零部件及配件制造，汽车零配件零售，汽车零配件批发，电机及其控制系统研发，电动机制造，机械电气设备销售，新材料技术研发，合成材料制造(不含危险化学品)，特种陶瓷制品销售，智能控制系统集成，货物进出口，技术进出口(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,"阜新德尔汽车部件股份有限公司作为一家综合性的汽车零部件系统供应商,公司紧跟汽车智能化、集成化、轻量化的发展趋势,已形成降噪(NVH)隔热及轻量化类产品;电泵、电机及机械泵类产品;电控、汽车电子类产品,广泛服务于国内外重要整机厂商,同时,公司还不断丰富产品线,积极布局氢燃料电池、全固态电池(ASSB)等新能源产品领域。公司产品制造能力达到国际领先水平。",李毅,李毅 (29.13%),辽宁省阜新市细河区开发大街59号
300474.SZ,长沙景嘉微电子股份有限公司,景嘉微,,高可靠军用电子产品的研发、生产和销售。,　　电子产品（不含电子出版物）、计算机软件的研究、开发、生产和销售及其相关的技术服务，集成电路设计，微电子产品的研究、开发；电子产品（不含电子出版物）的维修；集成电路的研发、生产、销售及相关的技术服务；微电子产品生产、销售及相关的技术服务；计算机及辅助设备的研究、开发、生产、销售、维修及相关的技术服务；图形图像、信号处理系统及配套产品的研究、开发、生产、销售、维修及相关的技术服务；存储和计算设备、系统及其配套产品的研究、开发、生产、销售、维修及相关的技术服务；微波射频、功放设备及其配套产品的研究、开发、生产、销售、维修及相关的技术服务；通信设备、系统及配套产品研发、生产、销售、维修及相关的技术服务；信息感知、处理、控制设备及系统的研发、制造、销售、维修及技术服务；信息系统集成研发、生产、销售、维修及相关的技术服务；软件研究、开发、销售及技术服务；电子应用技术研究、光机电一体技术研究、开发、生产、销售及技术服务；试验检测、模拟仿真及技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,长沙景嘉微电子股份有限公司从事高可靠军用电子产品的研发、生产和销售，主要产品为图形显控、小型专用化雷达领域的核心模块及系统级产品。公司陆续通过双软企业、三级保密资格单位、高新技术企业、武器装备质量体系等一系列资格认证，取得武器装备科研生产许可证、装备承制单位注册证书等业务资质证书。公司自成立以来一直致力于高可靠电子产品的研究开发，目前在图形显控领域居于国内领先地位，已同时成功研发多款具有自主知识产权的图形处理芯片，并实现规模化应用；在空中防撞雷达、主动防护雷达及弹载雷达微波射频前端等小型专用化雷达领域具有先发技术优势。,曾万辉,喻丽丽 (29.38%)，曾万辉 (6.67%),湖南省长沙市岳麓区梅溪湖路1号
300475.SZ,香农芯创科技股份有限公司,香农芯创,安徽聚隆传动科技股份有限公司,电子元器件分销。,　　一般项目：电子元器件批发；电子元器件零售；云计算装备技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；创业投资（限投资未上市企业）；以自有资金从事投资活动；自有资金投资的资产管理服务；家用电器制造；工业机器人制造；非居住房地产租赁；土地使用权租赁（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）,香农芯创科技股份有限公司的主营业务是电子元器件分销。公司的主要产品和服务是半导体分销及半导体投资。,李小红,张维 (35.53%),安徽省宣城市宁国市经济技术开发区创业北路16号
300476.SZ,胜宏科技(惠州)股份有限公司,胜宏科技,,新型电子器件(印制电路板)的研究开发、生产和销售。,　　新型电子器件（高精密度线路板）的研究开发生产和销售。产品国内外销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"胜宏科技(惠州)股份有限公司主要从事新型电子器件(印制电路板)的研究开发、生产和销售。主要产品为双面板、多层板（含HDI）等，产品广泛用于计算机及其周边、网络通讯、消费电子、汽车、LED、工业控制等下游领域。公司是全球印制电路板制造百强企业（排名36），是CPCA副理事长单位，也是行业标准的指定单位之一；高密度多层VGA(显卡)PCB,小间距LEDPCB市场份额全球第一；连续多年位居“中国PCB百强榜”和“全球PCB百强榜”前列；2020年中国(创业板)上市公司百强企业(第58名)。",陈涛,陈涛 (27.42%),广东省惠州市惠阳区淡水镇新桥村行诚科技园
300477.SZ,北京合纵科技股份有限公司,合纵科技,,配电及控制设备制造和相关技术服务、锂电池正极材料前驱体的研发、制造和销售。,　　一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，输配电及控制设备制造；智能输配电及控制设备销售；电气设备销售，配电开关控制设备研发；配电开关控制设备制造；配电开关控制设备销售；机械电气设备制造；机械电气设备销售；变压器、整流器和电感器制造；电力行业高效节能技术研发；电力设施器材制造；电力设施器材销售；电工仪器仪表制造；电工仪器仪表销售；电力电子元器件制造；电力电子元器件销售；金属结构制造；金属结构销售；电气设备修理；工程管理服务；工程技术服务(规划管理、勘察、设计、监理除外)；软件开发；储能技术服务；货物进出口；技术进出口；进出口代理。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：电气安装服务；输电、供电、受电电力设施的安装维修和试验。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)(不得从事国家和本市产业政策禁止和限制类项目的经营活动。),"北京合纵科技股份有限公司是从事配电及控制设备制造和相关技术服务、锂电池正极材料前驱体的研发、制造和销售。公司生产和销售户外中高压(12~40.5kV)配电和控制设备,主要产品包括环网柜、柱上开关(户外开关)、箱式变电站、变压器、其他开关类、电缆附件等,共计六大类二十个系列产品。根据公司自行统计的数据,在近5年国家电网和南方电网年度招投标的中标企业排名中,公司都保持较前的水平。",刘泽刚,刘泽刚 (11.86%),北京市海淀区上地三街9号(嘉华大厦)D1211、1212
300478.SZ,杭州高新橡塑材料股份有限公司,杭州高新,,高分子橡塑材料的的研发、生产和销售。,"　　高分子橡塑材料的研发、生产(上述经营范围中涉及前置审批项目的,在批准的有效期内方可经营)及销售,橡塑材料批发及进出口(涉及国家专项规定管理的商品按国家有关规定办理),计算机软硬件、系统集成的技术开发、技术服务,计算机软硬件、金属材料、化工原料及产品(不含危险品及易制毒化学品)的销售。(依法须批准的项目,经相关部门批准后方可开展经营活动)",杭州高新橡塑材料股份有限公司的主营业务为线缆用高分子材料的研发、生产和销售。公司的主要产品为特种聚乙烯及交联聚乙烯电缆料、特种聚氯乙烯电缆料、通用聚氯乙烯电缆料、无卤低烟阻燃电缆料、橡胶电缆料及橡塑改性弹性体。,胡宝泉,胡敏 (15.42%),浙江省杭州市余杭区径山镇后村桥路3号
300479.SZ,神思电子技术股份有限公司,神思电子,山东神思电子技术股份有限公司,智慧城市、智慧能源、智慧医疗及身份认证。,　　商用密码产品（有效期限以许可证为准）、电子产品、计算机软硬件及辅助设备、通讯设备（不含无线电发射设备）、人工智能产品、电子元器件、集成电路的研发、设计、制造、销售、租赁、安装施工、技术咨询、技术转让、技术服务、技术推广；信息系统集成服务；互联网数据服务；信息技术咨询服务；软件外包服务；房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,神思电子技术股份有限公司的主营业务是智慧城市、智慧能源、智慧医疗及身份认证。公司的主要产品是身份证阅读机具、移动展业、银医自助、计算机视觉、便捷支付。公司荣获；获得“创客中国”中小企业大赛二等奖，公司智慧餐饮进入2019年度企业食堂信息化服务商全国TOP10，公司以“智慧营业厅商用服务机器人项目”入围国家工信部新一代人工智能产业创新重点任务潜力单位。,闫龙,济南市人民政府国有资产监督管理委员会 (11.40%),山东省济南市历下区高新区舜华西路699号
300480.SZ,光力科技股份有限公司,光力科技,郑州光力科技股份有限公司,研发、生产、销售用于半导体等微电子器件封装测试环节的精密加工设备以及开发、生产基于高性能高精度空气主轴。,　　传感器、变送器、检测（监测）仪器仪表及控制系统、安全设备、环保设备、机电设备、防护装备、防爆电气设备研发、生产、销售及维护；系统集成及技术转让、技术咨询、技术服务；机械、电子产品的来料加工；仪器仪表的检测与校验；从事货物和技术的进出口业务；机电设备安装；计算机软件开发；计算机系统服务；计算机硬件技术开发、制造、销售、技术咨询及技术服务；通信设备的制造、销售及技术服务；房屋租赁。,光力科技股份有限公司的主营业务为研发、生产、销售用于半导体等微电子器件封装测试环节的精密加工设备以及开发、生产基于高性能高精度空气主轴。主要产品有半导体等微电子器件基体的划片、切割系列设备。公司是高新技术企业、双软认证企业、AAA级信用企业，近年来，公司先后获评全国电子信息技术具发展潜力企业、是国家安全生产监督管理总局评定的27家“百佳企业”之一。是河南省首家通过的CMMI-5级软件成熟度认证的企业。,赵彤宇,赵彤宇 (40.34%),河南省郑州市中原区高新技术产业开发区长椿路10号
