,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
600400.SH,江苏红豆实业股份有限公司,红豆股份,,男装的生产与销售。,　　许可项目：第二类医疗器械生产；医用口罩生产；自来水生产与供应；货物进出口；技术进出口；进出口代理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：服装制造；服饰制造；服装服饰零售；服装服饰批发；鞋帽零售；鞋帽批发；箱包销售；皮革制品销售；互联网销售（除销售需要许可的商品）；劳动保护用品生产；劳动保护用品销售；特种劳动防护用品生产；特种劳动防护用品销售；第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；医用口罩零售；日用口罩（非医用）生产；日用口罩（非医用）销售；产业用纺织制成品生产；产业用纺织制成品销售；家用纺织制成品制造；针纺织品销售；专业设计服务；日用品销售；日用百货销售；塑料制品销售；金属制品销售；橡胶制品销售；纸制品销售；照明器具销售；家具销售；家用电器销售；工艺美术品及礼仪用品销售（象牙及其制品除外）；电子产品销售；货币专用设备销售；电气信号设备装置销售；可穿戴智能设备销售；品牌管理；企业管理咨询；非居住房地产租赁。,江苏红豆实业股份有限公司的主营业务为服装、毛线纱线及印染、房地产、棉纺。公司的主要服装产品包括西服、衬衫、羊毛衫、T恤、休闲服等。公司使用的“红豆”商标，是1997年国家工商行政管理局认定的首批中国驰名商标。“红豆”被评为中国十大最具文化价值品牌，荣获中国服装行业最高殊荣--成就大奖。报告期内，“红豆”入选央视大国品牌“新中国成立70周年70品牌”。,戴敏君,周海江 (23.96%)，周耀庭 (21.97%)，周海燕 (1.66%)，刘连红 (0.85%)，顾萃 (0.71%),江苏省无锡市锡山区锡东新城商务区核心区同惠街19号红豆财富广场A座26-28层
600401.SH,海润光伏科技股份有限公司,海润光伏,江苏申龙高科集团股份有限公司,太阳能电池用单晶硅棒/片、多晶硅锭/片、太阳能电池片和组件的研发、生产和销售，太阳能光伏电站的投资、开发、运营和销售，以及太阳能光伏电站项目施工总承包、专业分包业务等。,　　研究、开发、生产、加工单晶硅片、单晶硅棒，多晶硅锭，多晶硅片；从事单、多晶硅太阳能电池片、组件的批发及进出口业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；太阳能发电项目施工总承包、专业分包、电站销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,海润光伏科技股份有限公司是一家主要从事太阳能电池研发、生产和销售的企业.其主要产品有太阳能电池用单晶硅棒、多晶硅锭、太阳能电池片及组件等。,李延人,陆克平 (0.19%),江苏省无锡市江阴市徐霞客镇璜塘工业园区环镇北路178号
600403.SH,河南大有能源股份有限公司,大有能源,南京欣网视讯科技股份有限公司,原煤开采、煤炭批发经营、煤炭洗选加工。,　　原煤开采（限分支机构凭有效许可证经营）；煤炭批发经营；对煤炭行业的投资；煤炭洗选加工（限分支机构经营）；自有铁路专用线煤炭运输；国内贸易；对外贸易（国家限定公司经营或禁止进出口的商品及技术除外）；技术服务、咨询服务；取水、供水、供暖（限分支机构经营）；设备、房屋租赁。（以上范围凡需审批的，未获批准前不得经营）。,"河南大有能源股份有限公司主要从事原煤开采、煤炭批发经营、煤炭洗选加工。公司的主要产品为长焰煤、焦煤、贫煤、洗精煤。公司注重科技创新,拥有“八所一站”的技术研发机构、国内领先的机械化生产系统,防灭火技术、瓦斯综合治理技术和冲击地压综合防治技术在行业处于领先地位。",任春星,河南省人民政府国有资产监督管理委员会 (56.23%),河南省三门峡市义马市千秋路6号
600405.SH,北京动力源科技股份有限公司,动力源,,数据通信、绿色出行、新能源业务。,　　电力电子产品、计算机软件及辅助设备、通信设备、节能工程、新能源汽车、新能源发电工程的技术开发、技术转让、技术咨询、技术服务、技术推广；新能源汽车换电设施的技术开发；光伏设备及元器件、充电桩的技术开发；生产计算机软硬件；销售电力电子产品、计算机软件及辅助设备、仪器仪表、环保设备、新能源汽车及配件产品、充电桩、光伏设备及元器件、新能源汽车换电设施；新能源发电工程设计；生产电力电子产品；专业承包；租赁电力电子设备、机械设备；货物进出口；技术进出口；代理进出口；电动汽车充电基础设施运营。（市场主体依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,北京动力源科技股份有限公司主营业务是数据通信、绿色出行、新能源业务。公司的主要产品有直流电源、交流电源等、监控系统、高压变频器。报告期内，公司持续被评为中国电源学会常务理事单位。,何振亚,何振亚 (11.23%),北京市丰台区科技园区星火路8号
600406.SH,国电南瑞科技股份有限公司,国电南瑞,,电网自动化及工业控制、电力自动化信息通信、继电保护及柔性输电、发电及水利环保等业务的技术和产品研发、设计、制造、销售及与之相关的系统集成和工程总包业务。,　　电力设备及系统、输配电及控制设备、电机、计算机软硬件及外围设备、通信设备、节能环保设备、仪器仪表、工业自动控制系统及装置、轨道交通控制系统、信号系统及设备、电动汽车充换电系统及设备的研发、生产、销售、技术咨询、技术服务；轨道交通技术开发、技术转让、技术咨询、技术服务；机电工程、电力工程、安防工程、建筑智能化工程、节能环保工程的设计、施工、技术咨询、技术服务；计算机系统集成、信息系统集成服务；职业技能培训；计算机软件的培训服务；合同能源管理；自有房屋租赁；电动汽车充换电设施建设与服务；自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"国电南瑞科技股份有限公司主要从事电网自动化及工业控制、电力自动化信息通信、继电保护及柔性输电、发电及水利环保等业务的技术和产品研发、设计、制造、销售及与之相关的系统集成和工程总包业务。公司的主要产品包括发电、输电、变电、配电、供电控制系统设备;计算机及外部设备;通信交换、通信终端及通信设备。
　　公司多项成果获国家科技进步奖、中国专利金奖等高等级奖励。在智能电网领域，公司承担了诸多国家级科技项目攻关以及关键技术和核心装备研发任务，主导和参与多项国家、行业标准的制修订，引领行业技术发展，提升产品技术水平。",冷俊,国务院国有资产监督管理委员会 (56.89%),江苏省南京市江宁区经济技术开发区诚信大道19号
600408.SH,山西安泰集团股份有限公司,安泰集团,,焦炭及其副产品、型钢、电力的生产与销售。,　　生产、销售焦炭、焦炭副产品、热轧H型钢、电力、矿渣细粉、碳素制品、化工产品（国家限制品除外）；煤炭洗选；石灰石开采、加工；石料、石粉及白云石轻烧、加工、经营；道路货物运输：货物运输代理服务，仓储服务，装卸搬运服务；新产品开发；批发零售矿产品（除国家专控品）、化工原料（除易燃易爆易腐蚀危险品）、普通机械、汽车（除小轿车）、日杂百货、农副产品（除国家专控品）；进出口：自营和代理各类商品和技术的进出口业务，（但国家限定经营或禁止经营的商品及技术除外）；实业投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,山西安泰集团股份有限公司主要从事焦炭及其副产品、型钢、电力的生产与销售。公司主要产品为焦炭、型钢和电力。,杨锦龙,李安民 (31.57%),山西省晋中市介休市义安镇义安村义安镇政府西100米
600409.SH,唐山三友化工股份有限公司,三友化工,,纯碱、氯化钙、烧碱、聚氯乙烯、混合甲基环硅氧烷、石灰石、粘胶短纤维等系列产品的生产、销售。,　　纯碱、氯化钙、烧碱、聚氯乙烯、混合甲基环硅氧烷、石灰石、粘胶短纤维等系列产品的生产、销售，拥有自营进出口权。,"唐山三友化工股份有限公司主要从事粘胶短纤维、纯碱、烧碱、聚氯乙烯、混合甲基环硅氧烷等系列产品的生产、销售,属于化学原料及化学制品制造业。公司的主要产品包括纯碱、氯化钙、烧碱、聚氯乙烯、混合甲基环硅氧烷等,主要应用于玻璃、有色金属、合成洗涤剂、化学建材等行业。加快产品升级换代步伐，研发了电子硅橡胶等新产品，化纤公司获“全国质量奖鼓励奖”，“唐丝Tangcell”品牌成为国内首个高端纤维素纤维品牌。",王春生,唐山三友集团有限公司 (45.25%),河北省唐山市曹妃甸区南堡开发区三友办公大楼
600410.SH,北京华胜天成科技股份有限公司,华胜天成,,IT系统解决方案、数字化基础设施、数字化应用等业务。,　　许可项目：建筑智能化系统设计；建设工程施工；建设工程施工（除核电站建设经营、民用机场建设）；建设工程设计；第一类增值电信业务；互联网信息服务；基础电信业务；第二类增值电信业务；职业中介活动；发电业务、输电业务、供（配）电业务；电气安装服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；计算机系统服务；对外承包工程；计算机软硬件及辅助设备零售；通信设备销售；供应用仪器仪表销售；软件外包服务；基于云平台的业务外包服务；软件销售；软件开发；国内贸易代理；货物进出口；技术进出口；进出口代理；商务代理代办服务；数据处理和存储支持服务；人力资源服务（不含职业中介活动、劳务派遣服务）；合同能源管理；节能管理服务；储能技术服务；新能源原动设备销售；机械设备销售；环保咨询服务；工程管理服务；光伏设备及元器件销售；太阳能热利用装备销售；太阳能热发电装备销售；太阳能热利用产品销售；太阳能热发电产品销售；太阳能发电技术服务；光伏设备及元器件制造；半导体器件专用设备销售；半导体器件专用设备制造；电力电子元器件销售；环境保护专用设备销售；配电开关控制设备制造；配电开关控制设备销售；配电开关控制设备研发；工业自动控制系统装置制造；工业自动控制系统装置销售；变压器、整流器和电感器制造；实验分析仪器销售；制冷、空调设备销售；新能源汽车电附件销售；建筑材料销售；金属制品销售；室内空气污染治理；数据处理服务；气体、液体分离及纯净设备销售；气体、液体分离及纯净设备制造；塑料制品销售；塑料制品制造；塑料加工专用设备销售；化工产品销售（不含许可类化工产品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,"北京华胜天成科技股份有限公司的主营业务是IT系统解决方案、数字化基础设施、数字化应用等业务，公司主要产品包括系统产品及系统集成、软件及软件开发、专业服务。作为国内最早涉足云计算服务的企业之一,公司积极布局全产业链路,在云计算综合服务领域具有显著优势。",王维航,王维航 (10.07%)，胡联奎 (4.59%)，刘燕京 (2.76%)，刘建柱 (1.39%),北京市海淀区西北旺东路10号院东区23号楼北京华胜天成科研大楼
600415.SH,浙江中国小商品城集团股份有限公司,小商品城,,从事市场开发经营及配套服务，提供网上交易平台和服务，网上交易市场开发经营等。,"　　实业投资开发,市场开发经营,投资管理,市场配套服务,金属材料、建筑装饰材料、百货、针纺织品、五金交电化工、办公设备通信设备(不含无线)、机电设备的销售,信息咨询服务。自营和代理内销商品范围内商品的进出口业务。经营进料加工和“三来一补”业务,经营对销贸易和转口贸易,含下属分支机构的经营范围。",浙江中国小商品城集团股份有限公司主要从事市场开发经营及配套服务，提供网上交易平台和服务，网上交易市场开发经营等。其主要产品包括市场经营、商品销售、房地产销售、酒店服务、展览广告。,赵文阁,义乌市人民政府国有资产监督管理办公室 (46.84%),浙江省金华市义乌市福田路105号海洋商务楼
600416.SH,湘潭电机股份有限公司,湘电股份,,设计、生产、销售发电机、交直流电动机、特种电机、船用推进系统、电气控制设备、机电一体化系统、变压器、互感器、风力发电设备；开发、研制地铁车辆及混合动力汽车驱动系统。,　　生产、销售：发电机、交直流电动机、特种电机、轨道交通车辆牵引控制系统、电气成套设备、变压器、互感器、混合动力汽车、风力和太阳能发电设备、新能源汽车及零部件；电机、电气产品的修理、改造、安装；各类模具、夹具、刃具、量具、非标、二类工装等设计、制造、修理；盘类、轴类、箱体类结构件加工；废旧物资和设备的回收处置；委托收集和处置危险废弃物、金属切削液、危化品；新能源项目与节能环保项目的开发、建设、运营、工程总承包、技术开发、技术转让及咨询服务；公司范围内的动能管理服务（不含动能的生产、经营）；动能设备设施的设计、安装、制作、维修。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"湘潭电机股份有限公司的主营业务是设计、生产、销售发电机、交直流电动机、特种电机、船用推进系统、电气控制设备、机电一体化系统、变压器、互感器、风力发电设备；开发、研制地铁车辆及混合动力汽车驱动系统。主要产品有直流电机、直流牵引电机、特种电机、水泵等,在中小型电机领域公司位列行业前三位.在水泵行业,公司控股的长沙水泵厂的收入及生产规模位居行业第二,其中长泵产品国内市场占有率达到60%以上.此外,公司还是国内大型电动轮自卸车的唯一生产厂家,是唯一能生产地铁车辆用成套牵引电气设备的厂家,是唯一具备成熟的城市交通轻轨车整车生产能力的厂家。",周健君,湖南省国有资产管理委员会 (26.40%),湖南省湘潭市岳塘区下摄司街302号
600418.SH,安徽江淮汽车集团股份有限公司,江淮汽车,安徽江淮汽车股份有限公司,商用车、乘用车及动力总成的研发、制造、销售和服务。,　　道路机动车辆生产；货物进出口；技术进出口；第二类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：齿轮及齿轮减、变速箱销售；齿轮及齿轮减、变速箱制造；汽车零部件研发；汽车零部件及配件制造；汽车零配件零售；新能源汽车整车销售；汽车新车销售；通用设备制造（不含特种设备制造）；金属结构制造；模具销售；模具制造；机床功能部件及附件制造；机床功能部件及附件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；土地使用权租赁；非居住房地产租赁；仓储设备租赁服务；汽车租赁。,"安徽江淮汽车集团股份有限公司是一家集商用车、乘用车及动力总成研发、制造、销售和服务于一体的综合型汽车厂商。其主要产品有各类汽车及底盘、风商务车(MPV),瑞鹰越野车(SRV),C级宾悦、B级和悦及和悦RS、A级同悦及同悦RS、A0级悦悦轿车。2010年,2.0TCI发动机被评为2009年""中国心""十佳发动机,HFC4GB1.3C发动机荣获2010年""中国心""十佳发动机。2010年10月21日荣获中国质量领域最高奖--全国质量奖。",项兴初,安徽省国有资产监督管理委员会 (28.18%),安徽省合肥市包河区东流路176号
600419.SH,新疆天润乳业股份有限公司,天润乳业,新疆天宏纸业股份有限公司,乳制品制造业及畜牧业。,　　许可经营项目：无。一般经营项目：乳业投资及管理；畜牧业投资及管理；乳和乳制品的加工与销售；饲料加工、销售；农作物种植、加工；有机肥生产、销售；机械设备加工、维修；自营和代理各类商品和技术的进出口(国家限定公司经营和禁止进出口的商品和技术除外)；物业管理；房屋租赁；装饰装潢材料的销售。,新疆天润乳业股份有限公司集奶牛养殖、乳品生产、科研开发、市场营销为一体，是国家农业产业化重点龙头企业、自治区高新技术企业，是国家经济动员办公室在西北地区设立的唯一乳制品动员中心。公司以传统乳品为基础，以发酵乳和功能性乳品为重点，领先新鲜、做强常温、突破乳饮。公司是农业产业化国家重点龙头企业。,刘让,新疆生产建设兵团第十二师国有资产监督管理委员会 (29.11%),新疆维吾尔自治区乌鲁木齐市新市区经济技术开发区(头屯河区)乌昌公路2702号
